Year,weight,Location_of_Residence,HH_Income,Head_of_HH_Age,Head_of_HH_Gender,Hispanic_Origin_of_HH,Head_of_HH_Race,Head_of_HH_RaceOrigin,HH_Size,Population_Size,HH_Region,Police_Notified,Agg_of_PropertyCrime,Type_of_Crime,Victim_Services,Location_of_Incident
2014,1465.8272,1,7,4,1,2,1,1,2,4,4,2,3,8,2,1
2014,2876.99717,1,1,4,2,2,1,1,1,2,4,1,3,8,2,1
2014,2036.4318,2,88,1,1,2,3,3,2,2,4,1,3,7,2,3
2014,1519.44353,1,7,4,2,2,1,1,2,3,4,2,3,8,2,3
2014,1794.51563,1,1,2,2,2,3,3,1,5,4,2,3,8,2,2
2014,1530.93982,2,88,3,2,2,1,1,3,2,4,2,3,8,2,1
2014,3383.43534,1,1,1,1,1,1,4,2,1,4,1,3,8,2,3
2014,2129.98588,2,88,2,1,1,1,4,3,2,4,2,3,8,2,1
2014,2948.41194,2,3,5,1,1,1,4,2,1,4,1,3,8,2,3
2014,1489.39806,1,88,4,2,2,1,1,2,5,4,2,3,8,2,3
2014,1848.95312,2,5,2,1,2,1,1,1,1,4,1,3,8,2,3
2014,2999.15951,2,4,3,2,2,1,1,2,2,4,1,3,8,2,3
2014,1885.44714,2,7,3,1,2,1,1,3,1,4,2,3,8,2,4
2014,1387.50756,2,5,4,1,2,1,1,1,1,4,2,3,7,2,5
2014,1455.87504,1,2,3,2,2,2,2,2,4,4,2,3,8,2,3
2014,3083.1253,2,5,4,2,2,1,1,1,0,3,1,3,8,2,1
2014,3083.1253,2,5,4,2,2,1,1,1,0,3,2,3,8,2,1
2014,1616.55589,3,88,5,1,2,1,1,2,1,4,2,3,8,2,1
2014,2309.8052,2,88,2,2,2,1,1,2,1,4,2,3,8,2,1
2014,1661.94703,2,88,4,1,1,1,4,1,1,4,1,3,6,2,1
2014,1750.14726,3,2,2,2,2,1,1,1,1,4,1,3,8,2,1
2014,1284.67838,2,1,4,1,1,2,4,1,1,4,1,3,8,2,3
2014,2736.44199,3,88,3,2,1,1,4,2,1,4,1,3,6,2,1
